poi_id	normalized_score	geographic_id	category_id	administrative_region_id
735616	0.835928	49411997	0	1915
3046763	0.719317	2928150	1	1497
4196433	0.664003	49202198	8	2036
6098810	0.687377	40600420	18	3263
4141814	0.920559	40138569	4	945
1287912	0.413301	23225676	17	1881
1404418	0.812948	45075436	0	1802
1444142	0.849338	21727701	15	248
1473054	0.65317	49508380	8	540
6984575	0.699522	37328738	8	297
5040041	0.495556	4229865	3	3123
5433237	0.682105	46857469	10	1842
5465128	0.717375	45089318	6	1121
4033369	0.442869	34132995	17	2974
4082956	0.831279	36774014	4	174
7113741	0.740983	37853980	8	2974
4046228	0.409534	19668279	13	540
36499	0.685764	22665016	6	357
1589669	0.725632	10651581	16	328
7053657	0.318258	41113215	18	898
6911662	0.800573	24668674	4	297
6938342	0.849934	13785994	0	1680
370938	0.192736	43541571	1	2883
2214452	0.605983	39207483	14	297
5351710	0.537742	7746224	17	836
2273210	0.728603	8955797	18	720
3659460	0.725453	14893407	8	1826
3674506	0.703182	14364519	8	818
3726079	0.872505	47051380	0	1802
4049587	0.499863	44913637	10	1752
4317824	0.752881	18903299	0	1723
4349135	0.709755	8048956	4	1240
4365953	0.574633	17895262	15	3263
4379457	0.504594	5821415	15	3142
539653	0.697317	38531859	11	2820
4460219	0.656159	3058236	8	1551
895572	0.793575	44852992	4	2974
6811492	0.336058	21394209	17	2974
405081	0.615079	22816044	4	759
413782	0.849396	13655487	15	2791
4423072	0.708353	23643333	18	1107
2798012	0.440598	38318595	18	3161
5240522	0.611646	26879458	4	1816
6396147	0.48764	667786	8	835
348691	0.816038	47938129	4	939
2244897	0.836415	1723214	4	328
4643261	0.995647	5615504	4	1709
5575889	0.841125	20765779	1	580
5588963	0.234981	29149943	1	3111
2893618	0.887339	42853431	0	1950
5682128	0.707275	30519015	15	3263
4738982	0.840848	8546890	0	1790
5467043	0.579507	19552917	18	805
3250001	0.775439	762804	18	1752
3266380	0.846043	2275896	0	1802
5873898	0.823096	8095328	1	357
5882931	0.877899	2841538	0	1121
2989917	0.332648	51764629	14	2422
432292	0.774997	548784	8	3187
439782	0.739962	23343915	8	2170
6047296	0.864375	23098675	4	3263
6052405	0.994011	2391212	4	2847
1695271	0.58088	38318595	18	3161
5176834	0.325038	37207718	13	3187
5110260	0.539862	46484413	10	1915
5169544	0.751137	31371354	16	258
1137515	0.872247	16388215	0	359
2565764	0.529463	39540184	10	3187
1725019	0.342813	10595483	17	580
2382253	0.802762	30030996	8	836
3212851	0.864769	10534466	4	1812
3112938	0.797494	35347439	1	1240
3299452	0.857897	2614152	4	1950
3300509	0.890115	9351278	14	2428
3308714	0.822606	18859946	4	2199
926384	0.740258	4570438	0	917
6175462	0.727161	41293522	13	3257
6215465	0.487705	25001440	1	1241
3001943	0.448575	27060194	10	3159
3070104	0.76075	39586911	16	24
3643541	0.428921	46879211	15	2294
5954955	0.434953	50987378	17	2430
514827	0.44437	13402358	7	1370
5721346	0.651707	20458922	15	3035
6537912	0.823503	28888369	4	2430
3574679	0.525755	17237449	17	836
2758400	0.819087	6909250	4	1399
6913173	0.83852	2370411	1	353
1668611	0.2179	20290823	13	1416
1584280	0.709113	27390891	8	1709
1398106	0.454913	47465877	17	297
388509	0.686596	40168549	8	836
1021465	0.737946	20410876	16	2701
4181985	0.818193	44765955	1	245
5165362	0.756458	35242178	8	1826
6130874	0.889268	3536346	15	3098
4581026	0.660338	31542714	10	24
5371502	0.706853	39359785	14	3263
7055210	0.852365	51039314	4	1127
1855759	0.521152	8095328	16	357
7129932	0.699919	52156753	8	174
4266784	0.394323	30400876	0	3202
2447264	0.633148	9394917	4	835
2632748	0.597085	51816039	14	1551
2658862	0.661263	6627557	2	540
2659159	0.694836	41100760	18	1370
1933822	0.76312	44552390	1	297
2573022	0.653595	21849263	18	243
1425988	0.361567	36440853	16	1752
952281	0.84788	49066261	0	1121
4422322	0.737166	49186872	1	1240
6814126	0.705111	4574754	4	540
6847531	0.751566	29777422	15	1816
1754896	0.715747	15535314	4	1378
6095723	0.378226	50310231	16	1816
6745103	0.648868	44333078	8	359
3728035	0.07197	46846052	1	917
5302224	0.384576	17602824	18	1946
3210122	0.407425	51813339	14	1826
7128117	0.816203	35065874	8	540
3087822	0.633588	42663996	10	1915
5060604	0.460817	30030996	17	836
576295	0.784097	14893407	8	1826
1149247	0.567464	47587313	4	1709
1156146	0.67602	32574744	10	2974
3473731	0.839611	27170356	4	3142
2590098	0.817848	44927524	0	2847
6989468	0.779195	17736556	1	3111
7017045	0.785229	11601128	16	3159
6119341	0.021515	8787429	17	2170
6134985	0.711446	51120818	4	2422
5842365	0.641954	7401247	16	1752
6101763	0.664643	4080094	16	2319
6159768	0.665926	34850002	4	540
1271531	0.528286	27406522	2	3142
1647666	0.411316	35065874	8	540
6180616	0.829647	45061455	11	1826
4580221	0.954782	16083780	0	1802
609643	0.593	19365904	8	1392
1678736	0.499595	7038687	3	753
4519357	0.963531	31190061	0	203
1843652	0.583349	3790271	13	2883
1213137	0.528413	36278242	16	2294
6619702	0.244214	29206988	15	3246
6620304	0.863531	39298503	0	1802
5750076	0.352487	31684468	7	720
1231472	0.617555	31510760	3	1816
721210	0.453735	7643098	3	720
3978787	0.657298	18350708	17	432
1754243	0.724914	38828657	8	836
3938554	0.579198	27245123	0	3111
1346587	0.995598	14957858	4	1127
322783	0.984211	25232720	4	357
366928	0.70414	43618827	8	1121
2328307	0.889483	4166887	15	437
1549979	0.63775	42526497	14	1551
4688999	0.626232	17736556	1	3111
2398090	0.591795	39256253	20	1752
7125608	0.872009	7989426	4	836
7159338	0.828081	32588358	4	3098
5604500	0.708506	31312989	8	835
2817148	0.744083	16898693	8	720
7006155	0.802667	44981969	1	353
5467928	0.418279	32469665	15	1551
809621	0.539516	3009125	8	836
3804720	0.365934	11021199	1	3111
4365941	0.596436	42340639	17	3123
4374951	0.824414	6671032	4	791
2679324	0.362846	25433989	18	759
4031484	0.762773	20663496	14	3188
50863	0.768725	44220297	4	1589
5392138	0.569552	37182366	16	1816
4092380	0.819429	30698384	15	359
4371693	0.751279	19943718	4	1752
4390916	0.647303	41405324	3	1090
2114004	0.739534	3059620	10	842
3032171	0.844028	26658093	1	2428
1533029	0.822099	4037395	4	1240
4816935	0.836447	5615504	4	1709
709509	0.781458	35179092	11	2036
44834	0.633295	10595483	18	580
528095	0.698533	22413741	16	1752
4439652	0.692659	40430217	16	24
4493400	0.4356	31141821	13	353
194007	0.800023	32234764	14	297
5611244	0.475009	22890747	17	3123
5639337	0.501613	17066175	11	258
6069735	0.881348	37354380	0	2974
7021739	0.783637	20252172	0	805
7064956	0.771917	47829206	16	1241
6486124	0.82066	17736556	1	3111
713666	0.869029	34962714	4	1107
737393	0.835256	17093165	0	1392
746356	0.649785	48465248	8	3257
411492	0.825539	23142432	8	1241
2138098	0.201901	5479835	4	3159
5403573	0.603129	41525629	20	359
2879915	0.761744	52552787	14	353
3884536	0.879349	24985203	0	1127
1742295	0.588268	31643432	16	2430
3352456	0.403872	10406271	0	1570
2256478	0.995591	26461087	4	805
125649	0.712058	34344030	0	369
1742632	0.512647	11114558	1	3187
6403244	0.830555	9501060	14	540
2832056	0.502542	34706584	3	836
6983129	0.87628	32567641	15	654
6132321	0.677283	51996522	8	1551
1303326	0.83456	38862308	4	753
5529266	0.582265	22082985	8	1826
7080269	0.83221	11560281	11	835
6155056	0.231714	12359933	17	218
1226865	0.140478	14718597	17	433
5979958	0.76833	173414	8	3111
6030410	0.558835	35302470	8	3257
3631364	0.320903	2452373	17	108
4681272	0.34342	38469907	17	174
3711076	0.256502	30463277	1	2974
1689131	0.379091	13952040	15	1950
4763465	0.470743	9593585	17	359
6083180	0.630486	12549965	3	2883
293945	0.852938	26916285	0	1241
320649	0.574098	50833934	14	836
354838	0.28251	17939548	15	3111
4135401	0.43443	26182627	3	1950
4174446	0.212886	35674178	13	1783
7247414	0.27089	49115943	16	1788
7248097	0.861236	37354380	0	2974
3138287	0.423529	48750368	2	353
3744873	0.845133	52604566	0	2730
5331976	0.617271	42276327	0	1399
2667341	0.785181	34693392	4	1217
51395	0.566008	33709778	13	580
1499701	0.568538	47829206	17	1241
1521308	0.332903	12855470	4	3123
767846	0.840043	14957858	4	1127
4074639	0.755177	48821880	13	1866
6809474	0.472045	22972122	17	2089
7148865	0.670016	51803728	20	1881
15590	0.175585	39211742	4	3123
458599	0.593463	14292727	17	359
2638992	0.796318	25001440	0	1241
2653427	0.623275	22914713	8	1752
2653800	0.849347	44869495	15	1546
2723502	0.341335	47235012	16	1127
156747	0.672795	15313056	10	3263
3677452	0.452332	38641965	15	818
4064258	0.838097	13768962	11	359
4100591	0.42573	39091482	17	357
4330142	0.720097	45429338	8	1752
2490015	0.554538	49578088	4	2199
570620	0.959567	31156436	0	2590
3789093	0.24424	258285	13	1752
2082052	0.916173	35174477	0	2312
5738416	0.272004	31807451	15	1416
6726941	0.699274	7384833	16	2170
5575668	0.571436	3288167	8	1752
5625373	0.19703	14005054	16	297
6593823	0.432933	22665016	17	357
1156733	0.466018	47420547	13	1826
3405665	0.101182	39383791	1	2582
2970348	0.75978	32574744	11	2974
419572	0.417105	44485310	14	2170
461022	0.806339	38201110	1	1709
6390350	0.399411	12898993	17	1752
6406572	0.669996	964135	2	1240
6414037	0.742739	6672267	1	1370
3478596	0.502159	1009988	2	1816
5273562	0.801645	17477255	1	1127
1725623	0.751612	15129341	1	353
1739671	0.80782	46079793	4	547
1760904	0.105916	42134777	3	1752
5901876	0.799246	26836095	8	1826
6884711	0.317313	39274561	18	1816
6898126	0.46357	1093064	3	753
227700	0.561092	8095328	17	357
1739728	0.61463	6213062	8	947
5142093	0.514323	24383494	16	203
1120768	0.447341	45651231	17	2914
2107974	0.723764	38062999	8	1551
4839155	0.823416	20326266	11	2701
5212820	0.753468	19420475	14	3188
6173857	0.876124	3627218	15	2183
6218311	0.368891	44042666	3	1370
6219406	0.336001	32206395	13	1240
6240071	0.667203	29221177	8	1842
5810830	0.67331	37873843	8	1551
3914834	0.882215	11280229	0	2199
4116014	0.293698	31563018	17	1370
1413905	0.62403	31190061	3	203
3959663	0.774969	5249046	1	2199
691798	0.934925	36843838	15	2590
6814756	0.408649	12898993	1	1752
1217366	0.353234	13377637	7	1826
1239109	0.428317	17529650	10	1554
7008968	0.117388	30961200	17	1915
6060836	0.798329	46086965	10	1240
6076088	0.830698	28411165	1	258
5791684	0.745614	42526497	8	1551
3537050	0.357017	36440853	16	1752
3004423	0.611049	15705993	14	3263
4114994	0.116303	28560872	18	540
5021171	0.266195	432050	8	3123
5054616	0.506939	7429638	18	721
6709249	0.368102	258285	13	1752
6785263	0.614064	7962459	16	2883
3615842	0.719894	45212104	16	1370
2053275	0.362014	15070530	17	2820
7155969	0.824575	19143657	0	1551
3158729	0.442321	24459581	20	1348
4168587	0.805343	25416597	4	1534
5841047	0.854328	22913758	4	359
7185531	0.402859	19309174	17	3111
6940131	0.661263	15361911	4	2974
5343198	0.57636	39595971	18	720
6033365	0.667747	32469665	6	1551
2824879	0.46474	42272180	13	1752
5114887	0.70771	45191484	8	1085
4811574	0.485703	20860474	17	2974
4847931	0.600762	42118986	3	1752
4949189	0.726516	8429644	15	3111
4975663	0.788119	32513793	4	648
5921467	0.595697	51000269	4	540
6968300	0.550719	34895342	8	2723
4426094	0.577959	51000269	16	540
4430890	0.773855	24874764	4	1816
809087	0.58312	50085333	13	2847
1482188	0.723202	47761162	0	3257
1510186	0.321624	29111704	17	1783
3022722	0.778742	411545	4	3126
3049526	0.78091	29062210	14	2422
3049727	0.642792	30322470	8	1826
3187172	0.836331	24503027	11	359
7234479	0.712044	21150919	16	328
7253869	0.203694	29777422	1	1816
1944462	0.866495	29678359	0	2170
2578008	0.485289	49048700	8	3263
2586208	0.7147	26654585	8	1551
6688334	0.855261	32831234	4	2166
1881032	0.647339	4287334	8	1935
6259118	0.524268	13478104	1	2166
150949	0.800822	21678254	4	2649
871836	0.655567	39926985	16	1370
6302834	0.264106	42357736	1	1762
2273717	0.490984	12242701	0	1240
7111600	0.676926	5751549	8	437
1745809	0.545718	14292727	8	359
5400782	0.797215	40108568	11	432
6851029	0.533122	265426	0	2649
2708493	0.32839	36408775	10	432
5758840	0.560917	13735206	4	357
2948864	0.281724	36707616	13	2701
2988905	0.843472	27170356	0	1802
3548007	0.700011	44443304	14	2974
5090628	0.695022	17813071	0	1766
5600481	0.894847	12212497	4	1260
5605406	0.300651	17100215	1	3263
5627340	0.47401	52615106	17	2590
6033769	0.71934	35995563	4	1378
6599695	0.835358	1739143	11	1551
2171610	0.854399	33131962	0	1950
2188485	0.408908	8674901	18	2820
4393635	0.495771	30649784	2	297
5719905	0.995621	51426389	4	2883
3778852	0.625461	32455819	1	1826
1638555	0.329546	45135664	18	3161
4900027	0.995627	32780452	4	580
2817313	0.8152	21197593	4	2319
2825914	0.615644	19367944	16	1519
2853167	0.688066	18436014	1	174
1282644	0.446417	14058466	10	2708
5884120	0.640409	11046204	17	921
6521483	0.830811	39077352	4	1121
630321	0.606528	49623056	8	359
6922388	0.995599	7989426	4	836
3671803	0.761744	50870711	10	1826
2473018	0.303334	9913167	20	1881
223525	0.782475	14245992	11	359
3112882	0.316027	31594227	15	1240
3729692	0.889266	48056949	15	3235
3742096	0.813117	20663496	14	3188
1624745	0.692397	14323272	4	3257
1658064	0.850645	42282366	4	1752
2487994	0.357328	10429833	18	1816
153544	0.619705	21719177	11	359
154107	0.616414	44541568	18	1783
2273715	0.276907	12062408	9	1240
6056417	0.767809	47938129	4	939
3999575	0.562741	47223242	8	297
4000953	0.635907	9851296	15	2244
6328317	0.849393	379965	15	355
3810316	0.867606	1149385	0	1121
3435585	0.721479	30286136	18	1378
3447617	0.396826	48145408	10	1752
793959	0.742631	2999773	8	3187
1502688	0.310695	40699981	1	1240
3194636	0.543056	27656167	2	1240
396072	0.765619	16512318	4	353
399700	0.925785	43334711	0	2847
423166	0.644387	39207483	4	297
459670	0.806993	37050203	15	3111
463602	0.261916	22558279	16	1752
4119446	0.644054	25562307	8	893
2064915	0.835677	36971628	4	947
6135030	0.704892	9335594	14	3263
2696058	0.825229	16024990	11	1812
5462304	0.616074	46864074	0	1752
83661	0.194882	44899953	18	253
2164580	0.570449	112844	1	3111
5748027	0.452209	41386658	3	1370
297320	0.995619	39516322	4	174
2681157	0.801394	22344403	8	540
1383780	0.635475	45205581	0	3263
1384304	0.346514	34132995	17	2974
7024133	0.405303	35948942	11	2430
7052070	0.154998	18910280	17	1370
7059885	0.718155	6829773	8	1752
2028392	0.629356	3369648	8	1370
2146612	0.73748	46953717	8	1709
1346649	0.683237	32542622	1	357
5020532	0.559536	12647326	8	1127
4875741	0.917805	46099106	4	1816
2252122	0.438987	35065874	8	540
7049919	0.831434	50976934	1	1240
1827327	0.819429	22034414	4	2774
7112358	0.837992	10393381	0	1802
6348303	0.833628	29501073	1	2036
5192899	0.344617	17344407	10	3142
4468973	0.717721	6627557	18	540
5111328	0.887934	51792453	0	1762
1122382	0.838984	14228500	1	3263
4911390	0.788919	45742708	11	359
4927639	0.582276	35791397	8	253
3768412	0.798329	3982694	20	174
3829575	0.69946	21483960	14	1752
6758418	0.617986	49247828	4	2774
3816653	0.995638	30428558	4	2483
2087407	0.635141	28949252	17	1551
2089325	0.8775	42134777	4	1752
6619151	0.409659	50310231	16	1816
6702563	0.377721	37473440	16	917
6576393	0.69009	49847156	0	442
6586138	0.587574	11742680	7	1826
5763567	0.707089	24290363	16	1881
5824404	0.995641	12212497	4	1260
2777860	0.816704	29260581	4	203
3925371	0.259164	34246133	17	1752
4842492	0.752016	48379461	16	203
4558364	0.115375	6423420	3	1752
7164864	0.350371	4594886	8	2974
3165078	0.849435	563403	15	2167
3172003	0.72496	1215712	16	1709
3188444	0.668251	6792870	10	835
5025529	0.99561	13062528	4	1816
5042966	0.813475	3843899	0	753
3408963	0.357412	35302470	18	3257
2656415	0.458644	26540564	20	835
6004961	0.815117	35604980	4	3094
5209327	0.781848	50732901	1	580
6963707	0.801159	16699010	0	1949
915374	0.323381	914925	18	3257
4042646	0.46571	34709632	17	937
4361618	0.328822	37207718	1	3187
3501334	0.328448	18862909	1	433
3520779	0.819802	5615504	4	1709
1957384	0.723859	18862909	8	433
123895	0.849034	42511776	4	433
3062431	0.655331	31635335	4	42
1512325	0.728051	41204571	8	1554
1524384	0.695617	26805117	8	297
1545012	0.812066	45360246	8	1551
984372	0.745649	37805122	4	1195
1023749	0.660746	31874814	10	3111
4787046	0.833887	37207718	4	3187
4601113	0.634432	9845244	17	1881
4613147	0.540524	18230861	10	1826
4618362	0.889234	51969445	15	2319
2633746	0.711023	49478152	8	836
2643743	0.849279	29492762	15	2918
6301469	0.618085	36667900	14	1240
1367412	0.598736	5811488	4	1981
378849	0.288538	47420547	1	1826
6892578	0.729329	36404985	4	1788
6927967	0.815095	2608370	0	1127
312735	0.404041	9144468	18	547
6413878	0.695092	37509350	11	540
5626056	0.539584	48686204	15	1915
2824505	0.812339	6380030	1	1121
2829657	0.748947	29330122	7	1881
2854425	0.669457	40488577	16	2166
5696999	0.88915	28383749	15	1025
565213	0.512785	5268050	18	2261
339644	0.595401	43968733	11	1260
2176459	0.819429	40597969	18	1826
437613	0.496363	13379852	14	1169
4437153	0.299872	10884073	3	3161
4447367	0.779406	46636845	4	2460
4467022	0.824029	20367570	14	921
6688122	0.705709	2615377	3	359
1847187	0.241097	28054758	17	2806
6347984	0.869002	27851105	4	1692
4311680	0.362562	5588434	10	1879
1007911	0.558902	30493762	17	359
1034315	0.365629	12982791	3	818
6680283	0.403799	33870125	20	1260
6753328	0.902485	16366590	0	1260
5620896	0.369115	49643089	17	1127
3873281	0.200185	42357736	17	1762
6852043	0.601128	38384111	18	245
5871451	0.828749	16702181	0	3188
4002922	0.657539	38585610	0	1551
878347	0.694896	26836095	8	1826
2870316	0.429258	48231151	17	2974
2902528	0.842353	44202390	4	357
1991626	0.467677	4501415	13	1240
6197694	0.676365	13935059	0	297
1337924	0.429036	31700542	13	817
2561706	0.824223	10568536	0	3263
2972964	0.710285	31336048	4	921
7115948	0.995587	37743778	4	2089
7141469	0.464454	4823769	16	1762
7153417	0.478256	10384510	4	1551
1050378	0.853302	24290363	1	1881
1620898	0.810058	11096627	0	2170
685496	0.735408	18096685	1	2956
6830731	0.289985	32589756	8	1752
4922309	0.81946	32891770	1	3111
4944300	0.51823	23263615	16	1799
4977011	0.322537	545486	17	359
3975907	0.448488	16680010	8	1737
4009323	0.26676	22972122	17	2089
4009557	0.706683	10861603	8	3161
5786031	0.273459	41444733	17	359
5814667	0.265122	51851282	1	1240
1895474	0.473684	6552914	18	174
6007976	0.307011	3982694	20	174
3015509	0.62301	34437951	8	540
3084054	0.827853	37978835	11	921
6739519	0.714629	31682416	8	245
2394509	0.4366	35563202	2	2582
2480690	0.511594	23861960	2	1826
1285606	0.690739	39320356	4	3111
863562	0.598032	42343814	1	297
913016	0.36743	9394917	20	835
4688738	0.264128	2631538	17	1812
3592368	0.805311	10154024	1	3263
3614418	0.849341	28621453	15	3203
6019668	0.519867	12602567	14	759
5556548	0.744244	50989001	8	540
5304765	0.728429	42815830	8	540
5874224	0.663988	45655535	17	1551
1495058	0.78206	35860919	4	2610
1506665	0.835858	18096117	1	1240
3422158	0.603713	8753302	4	3263
5276940	0.640412	39540184	10	3187
